reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,review_length
6d130fcb-47b1-42fc-a032-bf97719ca5a4,Alexander Benkstein,https://play-lh.googleusercontent.com/a-/ALV-UjUScPRYctvqJtDo8Eak8fUhcA3vhyQuaWFp0IXSYy_3YH6GyX1G,principally good app pretty much unusable youre using one ms account one device word excel ms apps pretty eas switch planner,2,0,1.18.36,3/3/2026 15:08,,,1.18.36,190
34f4642b-17ee-463b-ac28-05a902db1cb9,Thomas Watson,https://play-lh.googleusercontent.com/a/ACg8ocLh8-a8xAygziLnp2pTUs6e1BlxCbgzgMyyf9O25o6Xa-uyfw=mo,like far ill report later,3,0,1.18.36,2/27/2026 11:03,,,1.18.36,42
5a9342d9-8259-4c6f-b8b8-20b1096cf69d,Matt Winter,https://play-lh.googleusercontent.com/a-/ALV-UjX0oSroKnGl7Dq8N9QP4ehkGGBPNqHUQX0RTL65AhW3z76PKQ5B,would load real assistance common days easier reliable apps available edit whats point cant register device cant accept mobiles pointless would stars possible,1,1,1.18.36,2/27/2026 5:43,,,1.18.36,257
73a714db-ceb1-4b5d-a1af-64d953643ad9,Hugo Arista,https://play-lh.googleusercontent.com/a/ACg8ocKHbuy2yFbJ5AGe3PZXkx5Hdj84pTisYLmQ2E6LqV_pYO6w1A=mo,experience app really good thing tools available app really limited would ideal capabilities work diferent plans moving card plans like web version,4,0,1.18.36,2/24/2026 23:49,,,1.18.36,252
79b2321f-1e26-4028-b553-da8b0d8896b4,Laura R,https://play-lh.googleusercontent.com/a-/ALV-UjXMp1jpKbalrYWfxVjbiIvC5uQ0F9zO6E_Brlhx83pdSPr9yjKV-A,app complete failure planner used kanban board app mobile version ignores board structure collapses buckets one list even though exist work web app reinstalling settings changes dont fix functionality simply gone cant manage workflow stages visualize progress anymore website works teams works official app cant display data model please restore board view rename app,1,1,1.18.33,2/17/2026 5:10,,,1.18.33,490
d099dea6-5641-4700-afc3-dc40a2d0f91f,Raw S. (Rawman),https://play-lh.googleusercontent.com/a-/ALV-UjWI5L_HWQAb6cZMi7Cl7WUZ18VL3_rbQf3zG8eb9S4HRn4fBJh5,bought premium planner app cant use features cant believe company like microsoft cant get basics right,1,4,1.18.33,2/14/2026 1:41,,,1.18.33,134
61fbc41d-b60f-414a-bf28-f815143b2f03,Tom Stevens,https://play-lh.googleusercontent.com/a/ACg8ocLtXAt6NuDKaBmQp23NY3TWjTkDVdX38H8xd-DakaAuxq4rPQ=mo,would allow signing work school account couldnt sign personal account removed since unusable without sign,1,0,,2/11/2026 22:33,,,,135
4ac63903-d472-44f9-ab03-3ed7b729d402,Untung Sridadi Taurat,https://play-lh.googleusercontent.com/a-/ALV-UjWVBdgytaA1fx3IajycMB9C5BPs0BJUZR8r1Fk1y8HVoj8FUss,extremely helpful onky challenge assign task team,5,0,,2/7/2026 8:58,,,,63
6df70b72-98b0-4eeb-8678-d94f835dca56,Charlie Barrons,https://play-lh.googleusercontent.com/a/ACg8ocIXVOl3mJ52D6JHNyWVZMuedh0A6U-btobakXRhYZ6q2LyhXw=mo,could sign,1,0,,2/6/2026 1:07,,,,19
d3220d31-4f29-4d5b-ad33-291e525fec3f,Joshua Chetty,https://play-lh.googleusercontent.com/a/ACg8ocLohkFCfOgkmK6Y1qNgBGmToAcS_KvqlhuRxv4s71TfVW4EJw=mo,great tracking tool,5,1,1.18.33,1/29/2026 13:31,,,1.18.33,19
